,PRODUCTO,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MIN
1127,Palta fuerte,6.15,Frutas,KILOGRAMO
1128,Tomate,4.8,Hortalizas,KILOGRAMO
1129,Papa canchan,2.45,Tuberculos,KILOGRAMO
1130,Lenteja,7.7,Menestras,KILOGRAMO
1131,Naranja valencia,3.7,Frutas,KILOGRAMO
1132,Carne fresca de vacuno,19.5,Carnes y huevos,KILOGRAMO
1133,Zapallo macre,3.05,Hortalizas,KILOGRAMO
1134,Aji escabeche,3.85,Hortalizas,MALLA
1135,Arveja verde blanca serrana,7.45,Legumbres,KILOGRAMO
1136,Manzana delicia,3.45,Frutas,KILOGRAMO
1137,Leche fresca,4.6,Agro-industriales,LITRO
1138,Garbanzo,9.15,Menestras,KILOGRAMO
1139,Azucar blanca nacional (granel),4.7,Agro-industriales,KILOGRAMO
1140,Uva red globe,7.45,Frutas,KILOGRAMO
1141,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1142,Carne de porcino (corte unico),18.65,Carnes y huevos,KILOGRAMO
1143,Uva alfonso lavalett,5.5,Frutas,KILOGRAMO
1144,Uva italia,7.55,Frutas,KILOGRAMO
1145,Haba verde serrana,3.75,Legumbres,KILOGRAMO
1146,Azucar rubia nacional (granel),4.05,Agro-industriales,KILOGRAMO
1147,Frijol canario,6.25,Menestras,KILOGRAMO
1148,Papaya,3.35,Frutas,KILOGRAMO
1149,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1150,Limon sutil bolsa,2.5,Frutas,KILOGRAMO
1151,Olluco largo,4.0,Tuberculos,KILOGRAMO
1152,Camote morado,2.75,Tuberculos,KILOGRAMO
1153,Platano bellaco,3.0,Frutas,LITRO
1154,Arroz extra,4.55,Cereales,KILOGRAMO
1155,Leche reconstituida (azul) 395 gr,4.4,Agro-industriales,LATA
1156,Pina criolla,2.7,Frutas,KILOGRAMO
1157,Vainita americana,5.4,Legumbres,KILOGRAMO
1158,Manzana israel,4.45,Frutas,KILOGRAMO
1159,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1160,Chirimoya cumbe,7.65,Frutas,KILOGRAMO
1161,Yuca blanca,3.65,Tuberculos,KILOGRAMO
1162,Pallar,8.05,Menestras,KILOGRAMO
1163,Papa amarilla,4.4,Tuberculos,KILOGRAMO
1164,Melocoton durazno huayco,10.55,Frutas,KILOGRAMO
1165,Sandia,2.37,Frutas,KILOGRAMO
1166,Aceite clasico botella 900 ml,10.7,Agro-industriales,LITRO
1167,Huevos rosados,10.35,Carnes y huevos,KILOGRAMO
1168,Ajo criollo o napuri,14.35,Hortalizas,KILOGRAMO
1169,Frijol castilla,5.4,Menestras,KILOGRAMO
1170,Arroz superior,3.9,Cereales,KILOGRAMO
1171,Carne de pollo (eviscerado),10.15,Carnes y huevos,KILOGRAMO
1172,Platano seda congo,4.2,Frutas,KILOGRAMO
1173,Choclo (tipo cusco),8.45,Cereales,UNIDAD
1174,Melon coquito,3.45,Frutas,KILOGRAMO
1175,Zanahoria,3.65,Hortalizas,KILOGRAMO
1176,Carne fresca de vacuno,19.5,Carnes y huevos,KILOGRAMO
1177,Zapallo macre,3.05,Hortalizas,KILOGRAMO
1178,Aji escabeche,3.85,Hortalizas,MALLA
1179,Arveja verde blanca serrana,7.45,Legumbres,KILOGRAMO
1180,Manzana delicia,3.45,Frutas,KILOGRAMO
1181,Leche fresca,4.6,Agro-industriales,LITRO
1182,Garbanzo,9.15,Menestras,KILOGRAMO
1183,Azucar blanca nacional (granel),4.7,Agro-industriales,KILOGRAMO
1184,Uva red globe,7.45,Frutas,KILOGRAMO
1185,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1186,Carne de porcino (corte unico),18.65,Carnes y huevos,KILOGRAMO
1187,Uva alfonso lavalett,5.5,Frutas,KILOGRAMO
1188,Uva italia,7.55,Frutas,KILOGRAMO
1189,Haba verde serrana,3.75,Legumbres,KILOGRAMO
1190,Azucar rubia nacional (granel),4.05,Agro-industriales,KILOGRAMO
1191,Frijol canario,6.25,Menestras,KILOGRAMO
1192,Papaya,3.35,Frutas,KILOGRAMO
1193,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1194,Limon sutil bolsa,2.5,Frutas,KILOGRAMO
1195,Olluco largo,4.0,Tuberculos,KILOGRAMO
1196,Camote morado,2.75,Tuberculos,KILOGRAMO
1197,Platano bellaco,3.0,Frutas,LITRO
1198,Arroz extra,4.55,Cereales,KILOGRAMO
1199,Leche reconstituida (azul) 395 gr,4.4,Agro-industriales,LATA
1200,Pina criolla,2.7,Frutas,KILOGRAMO
1201,Vainita americana,5.4,Legumbres,KILOGRAMO
1202,Manzana israel,4.45,Frutas,KILOGRAMO
1203,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1204,Chirimoya cumbe,7.65,Frutas,KILOGRAMO
1205,Pallar,8.05,Menestras,KILOGRAMO
1206,Papa amarilla,4.4,Tuberculos,KILOGRAMO
1207,Melocoton durazno huayco,10.55,Frutas,KILOGRAMO
1208,Sandia,2.37,Frutas,KILOGRAMO
1209,Aceite clasico botella 900 ml,10.7,Agro-industriales,LITRO
1210,Huevos rosados,10.35,Carnes y huevos,KILOGRAMO
1211,Ajo criollo o napuri,14.35,Hortalizas,KILOGRAMO
1212,Frijol castilla,5.4,Menestras,KILOGRAMO
1213,Arroz superior,3.9,Cereales,KILOGRAMO
1214,Carne de pollo (eviscerado),10.15,Carnes y huevos,KILOGRAMO
1215,Platano seda congo,4.2,Frutas,KILOGRAMO
1216,Yuca blanca,3.65,Tuberculos,KILOGRAMO
1217,Choclo (tipo cusco),8.45,Cereales,UNIDAD
1218,Papa canchan,2.45,Tuberculos,KILOGRAMO
1219,Melon coquito,3.45,Frutas,KILOGRAMO
1220,Zanahoria,3.65,Hortalizas,KILOGRAMO
1221,Palta fuerte,6.15,Frutas,KILOGRAMO
1222,Tomate,4.8,Hortalizas,KILOGRAMO
1223,Lenteja,7.7,Menestras,KILOGRAMO
1224,Naranja valencia,3.7,Frutas,KILOGRAMO
1225,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1226,Carne de porcino (corte unico),18.95,Carnes y huevos,KILOGRAMO
1227,Uva alfonso lavalett,5.5,Frutas,KILOGRAMO
1228,Uva italia,7.4,Frutas,KILOGRAMO
1229,Haba verde serrana,3.7,Legumbres,KILOGRAMO
1230,Azucar rubia nacional (granel),4.05,Agro-industriales,KILOGRAMO
1231,Frijol canario,6.55,Menestras,KILOGRAMO
1232,Papaya,3.25,Frutas,KILOGRAMO
1233,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1234,Limon sutil bolsa,2.5,Frutas,KILOGRAMO
1235,Olluco largo,4.0,Tuberculos,KILOGRAMO
1236,Camote morado,4.2,Tuberculos,KILOGRAMO
1237,Platano bellaco,3.0,Frutas,LITRO
1238,Arroz extra,4.5,Cereales,KILOGRAMO
1239,Leche reconstituida (azul) 395 gr,4.3,Agro-industriales,LATA
1240,Pina criolla,2.7,Frutas,KILOGRAMO
1241,Vainita americana,5.4,Legumbres,KILOGRAMO
1242,Manzana israel,4.25,Frutas,KILOGRAMO
1243,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1244,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
1245,Pallar,8.05,Menestras,KILOGRAMO
1246,Papa amarilla,4.65,Tuberculos,KILOGRAMO
1247,Melocoton durazno huayco,10.55,Frutas,KILOGRAMO
1248,Sandia,2.27,Frutas,KILOGRAMO
1249,Aceite clasico botella 900 ml,10.7,Agro-industriales,LITRO
1250,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
1251,Ajo criollo o napuri,14.25,Hortalizas,KILOGRAMO
1252,Frijol castilla,6.25,Menestras,KILOGRAMO
1253,Arroz superior,3.9,Cereales,KILOGRAMO
1254,Carne de pollo (eviscerado),10.45,Carnes y huevos,KILOGRAMO
1255,Platano seda congo,4.2,Frutas,KILOGRAMO
1256,Yuca blanca,3.6,Tuberculos,KILOGRAMO
1257,Choclo (tipo cusco),8.45,Cereales,UNIDAD
1258,Papa canchan,2.35,Tuberculos,KILOGRAMO
1259,Melon coquito,3.45,Frutas,KILOGRAMO
1260,Zanahoria,3.45,Hortalizas,KILOGRAMO
1261,Palta fuerte,6.05,Frutas,KILOGRAMO
1262,Tomate,4.85,Hortalizas,KILOGRAMO
1263,Lenteja,7.7,Menestras,KILOGRAMO
1264,Naranja valencia,3.65,Frutas,KILOGRAMO
1265,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
1266,Zapallo macre,3.05,Hortalizas,KILOGRAMO
1267,Aji escabeche,4.0,Hortalizas,MALLA
1268,Arveja verde blanca serrana,7.45,Legumbres,KILOGRAMO
1269,Manzana delicia,3.45,Frutas,KILOGRAMO
1270,Leche fresca,4.6,Agro-industriales,LITRO
1271,Garbanzo,9.15,Menestras,KILOGRAMO
1272,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
1273,Uva red globe,7.45,Frutas,KILOGRAMO
1274,Haba verde serrana,3.7,Legumbres,KILOGRAMO
1275,Azucar rubia nacional (granel),4.05,Agro-industriales,KILOGRAMO
1276,Frijol canario,6.4,Menestras,KILOGRAMO
1277,Papaya,3.05,Frutas,KILOGRAMO
1278,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1279,Limon sutil bolsa,2.5,Frutas,KILOGRAMO
1280,Olluco largo,4.0,Tuberculos,KILOGRAMO
1281,Camote morado,4.15,Tuberculos,KILOGRAMO
1282,Platano bellaco,3.0,Frutas,LITRO
1283,Arroz extra,4.35,Cereales,KILOGRAMO
1284,Leche reconstituida (azul) 395 gr,4.35,Agro-industriales,LATA
1285,Pina criolla,2.7,Frutas,KILOGRAMO
1286,Vainita americana,5.4,Legumbres,KILOGRAMO
1287,Manzana israel,4.25,Frutas,KILOGRAMO
1288,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1289,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
1290,Pallar,8.05,Menestras,KILOGRAMO
1291,Papa amarilla,4.65,Tuberculos,KILOGRAMO
1292,Melocoton durazno huayco,10.45,Frutas,KILOGRAMO
1293,Sandia,2.27,Frutas,KILOGRAMO
1294,Aceite clasico botella 900 ml,10.65,Agro-industriales,LITRO
1295,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
1296,Ajo criollo o napuri,14.25,Hortalizas,KILOGRAMO
1297,Frijol castilla,6.25,Menestras,KILOGRAMO
1298,Arroz superior,3.9,Cereales,KILOGRAMO
1299,Carne de pollo (eviscerado),10.6,Carnes y huevos,KILOGRAMO
1300,Platano seda congo,4.2,Frutas,KILOGRAMO
1301,Yuca blanca,3.6,Tuberculos,KILOGRAMO
1302,Choclo (tipo cusco),8.45,Cereales,UNIDAD
1303,Papa canchan,2.35,Tuberculos,KILOGRAMO
1304,Melon coquito,3.45,Frutas,KILOGRAMO
1305,Zanahoria,3.45,Hortalizas,KILOGRAMO
1306,Palta fuerte,6.05,Frutas,KILOGRAMO
1307,Tomate,4.65,Hortalizas,KILOGRAMO
1308,Lenteja,7.7,Menestras,KILOGRAMO
1309,Naranja valencia,3.55,Frutas,KILOGRAMO
1310,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
1311,Zapallo macre,3.05,Hortalizas,KILOGRAMO
1312,Aji escabeche,3.8,Hortalizas,MALLA
1313,Arveja verde blanca serrana,7.45,Legumbres,KILOGRAMO
1314,Manzana delicia,3.4,Frutas,KILOGRAMO
1315,Uva italia,7.4,Frutas,KILOGRAMO
1316,Leche fresca,4.6,Agro-industriales,LITRO
1317,Garbanzo,9.05,Menestras,KILOGRAMO
1318,Azucar blanca nacional (granel),4.4,Agro-industriales,KILOGRAMO
1319,Uva red globe,7.45,Frutas,KILOGRAMO
1320,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1321,Carne de porcino (corte unico),18.95,Carnes y huevos,KILOGRAMO
1322,Uva alfonso lavalett,5.5,Frutas,KILOGRAMO
1323,Platano bellaco,3.0,Frutas,LITRO
1324,Arroz extra,4.35,Cereales,KILOGRAMO
1325,Leche reconstituida (azul) 395 gr,4.35,Agro-industriales,LATA
1326,Pina criolla,2.7,Frutas,KILOGRAMO
1327,Vainita americana,5.35,Legumbres,KILOGRAMO
1328,Manzana israel,4.25,Frutas,KILOGRAMO
1329,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1330,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
1331,Pallar,8.0,Menestras,KILOGRAMO
1332,Papa amarilla,4.65,Tuberculos,KILOGRAMO
1333,Melocoton durazno huayco,10.45,Frutas,KILOGRAMO
1334,Sandia,2.27,Frutas,KILOGRAMO
1335,Aceite clasico botella 900 ml,10.65,Agro-industriales,LITRO
1336,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
1337,Ajo criollo o napuri,14.25,Hortalizas,KILOGRAMO
1338,Frijol castilla,6.1,Menestras,KILOGRAMO
1339,Arroz superior,4.0,Cereales,KILOGRAMO
1340,Carne de pollo (eviscerado),10.35,Carnes y huevos,KILOGRAMO
1341,Platano seda congo,4.2,Frutas,KILOGRAMO
1342,Yuca blanca,3.6,Tuberculos,KILOGRAMO
1343,Choclo (tipo cusco),8.45,Cereales,UNIDAD
1344,Papa canchan,2.35,Tuberculos,KILOGRAMO
1345,Melon coquito,3.45,Frutas,KILOGRAMO
1346,Zanahoria,3.45,Hortalizas,KILOGRAMO
1347,Palta fuerte,6.0,Frutas,KILOGRAMO
1348,Tomate,4.6,Hortalizas,KILOGRAMO
1349,Lenteja,7.7,Menestras,KILOGRAMO
1350,Naranja valencia,3.55,Frutas,KILOGRAMO
1351,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
1352,Zapallo macre,3.0,Hortalizas,KILOGRAMO
1353,Aji escabeche,3.85,Hortalizas,MALLA
1354,Arveja verde blanca serrana,7.6,Legumbres,KILOGRAMO
1355,Manzana delicia,3.45,Frutas,KILOGRAMO
1356,Uva italia,7.4,Frutas,KILOGRAMO
1357,Leche fresca,4.6,Agro-industriales,LITRO
1358,Garbanzo,9.05,Menestras,KILOGRAMO
1359,Azucar blanca nacional (granel),4.4,Agro-industriales,KILOGRAMO
1360,Uva red globe,7.45,Frutas,KILOGRAMO
1361,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1362,Carne de porcino (corte unico),18.95,Carnes y huevos,KILOGRAMO
1363,Uva alfonso lavalett,5.5,Frutas,KILOGRAMO
1364,Haba verde serrana,3.7,Legumbres,KILOGRAMO
1365,Azucar rubia nacional (granel),4.05,Agro-industriales,KILOGRAMO
1366,Frijol canario,6.25,Menestras,KILOGRAMO
1367,Papaya,3.05,Frutas,KILOGRAMO
1368,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1369,Limon sutil bolsa,2.5,Frutas,KILOGRAMO
1370,Olluco largo,4.0,Tuberculos,KILOGRAMO
1371,Camote morado,4.15,Tuberculos,KILOGRAMO
1372,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1373,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
1374,Pallar,8.0,Menestras,KILOGRAMO
1375,Papa amarilla,4.35,Tuberculos,KILOGRAMO
1376,Melocoton durazno huayco,10.45,Frutas,KILOGRAMO
1377,Sandia,2.27,Frutas,KILOGRAMO
1378,Aceite clasico botella 900 ml,10.65,Agro-industriales,LITRO
1379,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
1380,Ajo criollo o napuri,14.35,Hortalizas,KILOGRAMO
1381,Frijol castilla,6.1,Menestras,KILOGRAMO
1382,Arroz superior,4.0,Cereales,KILOGRAMO
1383,Carne de pollo (eviscerado),10.35,Carnes y huevos,KILOGRAMO
1384,Platano seda congo,4.1,Frutas,KILOGRAMO
1385,Yuca blanca,3.6,Tuberculos,KILOGRAMO
1386,Choclo (tipo cusco),8.45,Cereales,UNIDAD
1387,Papa canchan,2.35,Tuberculos,KILOGRAMO
1388,Melon coquito,3.45,Frutas,KILOGRAMO
1389,Zanahoria,3.55,Hortalizas,KILOGRAMO
1390,Palta fuerte,6.0,Frutas,KILOGRAMO
1391,Tomate,4.6,Hortalizas,KILOGRAMO
1392,Lenteja,7.7,Menestras,KILOGRAMO
1393,Naranja valencia,4.1,Frutas,KILOGRAMO
1394,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
1395,Zapallo macre,3.0,Hortalizas,KILOGRAMO
1396,Aji escabeche,3.85,Hortalizas,MALLA
1397,Arveja verde blanca serrana,7.6,Legumbres,KILOGRAMO
1398,Manzana delicia,3.45,Frutas,KILOGRAMO
1399,Uva italia,7.4,Frutas,KILOGRAMO
1400,Leche fresca,4.6,Agro-industriales,LITRO
1401,Garbanzo,9.05,Menestras,KILOGRAMO
1402,Azucar blanca nacional (granel),4.5,Agro-industriales,KILOGRAMO
1403,Uva red globe,7.45,Frutas,KILOGRAMO
1404,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1405,Carne de porcino (corte unico),18.95,Carnes y huevos,KILOGRAMO
1406,Uva alfonso lavalett,5.65,Frutas,KILOGRAMO
1407,Haba verde serrana,3.65,Legumbres,KILOGRAMO
1408,Azucar rubia nacional (granel),4.3,Agro-industriales,KILOGRAMO
1409,Frijol canario,6.45,Menestras,KILOGRAMO
1410,Papaya,3.05,Frutas,KILOGRAMO
1411,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1412,Limon sutil bolsa,2.55,Frutas,KILOGRAMO
1413,Olluco largo,4.0,Tuberculos,KILOGRAMO
1414,Camote morado,4.15,Tuberculos,KILOGRAMO
1415,Platano bellaco,3.0,Frutas,LITRO
1416,Arroz extra,4.3,Cereales,KILOGRAMO
1417,Leche reconstituida (azul) 395 gr,4.35,Agro-industriales,LATA
1418,Pina criolla,2.7,Frutas,KILOGRAMO
1419,Vainita americana,5.35,Legumbres,KILOGRAMO
1420,Manzana israel,4.15,Frutas,KILOGRAMO
1421,Pallar,8.0,Menestras,KILOGRAMO
1422,Papa amarilla,4.25,Tuberculos,KILOGRAMO
1423,Melocoton durazno huayco,10.45,Frutas,KILOGRAMO
1424,Sandia,2.27,Frutas,KILOGRAMO
1425,Aceite clasico botella 900 ml,10.65,Agro-industriales,LITRO
1426,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
1427,Ajo criollo o napuri,14.65,Hortalizas,KILOGRAMO
1428,Frijol castilla,6.6,Menestras,KILOGRAMO
1429,Arroz superior,4.05,Cereales,KILOGRAMO
1430,Carne de pollo (eviscerado),10.6,Carnes y huevos,KILOGRAMO
1431,Platano seda congo,4.25,Frutas,KILOGRAMO
1432,Yuca blanca,3.6,Tuberculos,KILOGRAMO
1433,Choclo (tipo cusco),8.45,Cereales,UNIDAD
1434,Papa canchan,2.35,Tuberculos,KILOGRAMO
1435,Melon coquito,3.4,Frutas,KILOGRAMO
1436,Zanahoria,3.55,Hortalizas,KILOGRAMO
1437,Palta fuerte,6.0,Frutas,KILOGRAMO
1438,Tomate,4.6,Hortalizas,KILOGRAMO
1439,Lenteja,8.1,Menestras,KILOGRAMO
1440,Naranja valencia,4.0,Frutas,KILOGRAMO
1441,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
1442,Zapallo macre,3.0,Hortalizas,KILOGRAMO
1443,Aji escabeche,3.65,Hortalizas,MALLA
1444,Arveja verde blanca serrana,7.6,Legumbres,KILOGRAMO
1445,Manzana delicia,3.45,Frutas,KILOGRAMO
1446,Uva italia,7.4,Frutas,KILOGRAMO
1447,Leche fresca,4.6,Agro-industriales,LITRO
1448,Garbanzo,9.05,Menestras,KILOGRAMO
1449,Azucar blanca nacional (granel),4.5,Agro-industriales,KILOGRAMO
1450,Uva red globe,7.4,Frutas,KILOGRAMO
1451,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1452,Carne de porcino (corte unico),18.95,Carnes y huevos,KILOGRAMO
1453,Uva alfonso lavalett,5.65,Frutas,KILOGRAMO
1454,Haba verde serrana,3.65,Legumbres,KILOGRAMO
1455,Azucar rubia nacional (granel),4.2,Agro-industriales,KILOGRAMO
1456,Frijol canario,6.45,Menestras,KILOGRAMO
1457,Papaya,3.05,Frutas,KILOGRAMO
1458,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1459,Limon sutil bolsa,2.55,Frutas,KILOGRAMO
1460,Olluco largo,4.0,Tuberculos,KILOGRAMO
1461,Camote morado,4.15,Tuberculos,KILOGRAMO
1462,Arroz extra,4.5,Cereales,KILOGRAMO
1463,Leche reconstituida (azul) 395 gr,4.45,Agro-industriales,LATA
1464,Pina criolla,2.7,Frutas,KILOGRAMO
1465,Vainita americana,5.3,Legumbres,KILOGRAMO
1466,Manzana israel,4.15,Frutas,KILOGRAMO
1467,Platano bellaco,3.0,Frutas,LITRO
1468,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1469,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
1470,Choclo (tipo cusco),8.35,Cereales,UNIDAD
1471,Papa canchan,2.35,Tuberculos,KILOGRAMO
1472,Melon coquito,3.4,Frutas,KILOGRAMO
1473,Zanahoria,3.35,Hortalizas,KILOGRAMO
1474,Palta fuerte,5.9,Frutas,KILOGRAMO
1475,Tomate,4.7,Hortalizas,KILOGRAMO
1476,Lenteja,7.85,Menestras,KILOGRAMO
1477,Naranja valencia,4.0,Frutas,KILOGRAMO
1478,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
1479,Zapallo macre,3.0,Hortalizas,KILOGRAMO
1480,Aji escabeche,3.95,Hortalizas,MALLA
1481,Arveja verde blanca serrana,7.6,Legumbres,KILOGRAMO
1482,Manzana delicia,3.45,Frutas,KILOGRAMO
1483,Uva italia,7.4,Frutas,KILOGRAMO
1484,Leche fresca,4.6,Agro-industriales,LITRO
1485,Garbanzo,9.05,Menestras,KILOGRAMO
1486,Azucar blanca nacional (granel),4.5,Agro-industriales,KILOGRAMO
1487,Uva red globe,7.25,Frutas,KILOGRAMO
1488,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1489,Carne de porcino (corte unico),18.95,Carnes y huevos,KILOGRAMO
1490,Uva alfonso lavalett,5.65,Frutas,KILOGRAMO
1491,Haba verde serrana,3.7,Legumbres,KILOGRAMO
1492,Azucar rubia nacional (granel),4.05,Agro-industriales,KILOGRAMO
1493,Frijol canario,6.45,Menestras,KILOGRAMO
1494,Papaya,3.05,Frutas,KILOGRAMO
1495,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1496,Limon sutil bolsa,2.4,Frutas,KILOGRAMO
1497,Olluco largo,4.0,Tuberculos,KILOGRAMO
1498,Camote morado,4.0,Tuberculos,KILOGRAMO
1499,Arroz extra,4.5,Cereales,KILOGRAMO
1500,Leche reconstituida (azul) 395 gr,4.35,Agro-industriales,LATA
1501,Pina criolla,2.7,Frutas,KILOGRAMO
1502,Vainita americana,4.85,Legumbres,KILOGRAMO
1503,Manzana israel,4.05,Frutas,KILOGRAMO
1504,Platano bellaco,2.95,Frutas,LITRO
1505,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1506,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
1507,Papa amarilla,4.1,Tuberculos,KILOGRAMO
1508,Melocoton durazno huayco,9.85,Frutas,KILOGRAMO
1509,Sandia,2.26,Frutas,KILOGRAMO
1510,Aceite clasico botella 900 ml,10.5,Agro-industriales,LITRO
1511,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
1512,Ajo criollo o napuri,14.15,Hortalizas,KILOGRAMO
1513,Frijol castilla,6.45,Menestras,KILOGRAMO
1514,Arroz superior,3.95,Cereales,KILOGRAMO
1515,Carne de pollo (eviscerado),9.35,Carnes y huevos,KILOGRAMO
1516,Platano seda congo,4.25,Frutas,KILOGRAMO
1517,Yuca blanca,3.6,Tuberculos,KILOGRAMO
1518,Pallar,7.75,Menestras,KILOGRAMO
1519,Palta fuerte,5.9,Frutas,KILOGRAMO
1520,Tomate,4.7,Hortalizas,KILOGRAMO
1521,Lenteja,7.75,Menestras,KILOGRAMO
1522,Naranja valencia,4.0,Frutas,KILOGRAMO
1523,Carne fresca de vacuno,20.5,Carnes y huevos,KILOGRAMO
1524,Zapallo macre,3.0,Hortalizas,KILOGRAMO
1525,Aji escabeche,3.95,Hortalizas,MALLA
1526,Arveja verde blanca serrana,7.6,Legumbres,KILOGRAMO
1527,Manzana delicia,3.45,Frutas,KILOGRAMO
1528,Uva italia,7.4,Frutas,KILOGRAMO
1529,Leche fresca,4.45,Agro-industriales,LITRO
1530,Garbanzo,9.05,Menestras,KILOGRAMO
1531,Azucar blanca nacional (granel),4.4,Agro-industriales,KILOGRAMO
1532,Uva red globe,7.3,Frutas,KILOGRAMO
1533,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
1534,Carne de porcino (corte unico),19.05,Carnes y huevos,KILOGRAMO
1535,Uva alfonso lavalett,5.9,Frutas,KILOGRAMO
1536,Haba verde serrana,3.7,Legumbres,KILOGRAMO
1537,Azucar rubia nacional (granel),3.9,Agro-industriales,KILOGRAMO
1538,Frijol canario,6.4,Menestras,KILOGRAMO
1539,Papaya,2.95,Frutas,KILOGRAMO
1540,Aji rocoto,6.0,Hortalizas,KILOGRAMO
1541,Limon sutil bolsa,2.35,Frutas,KILOGRAMO
1542,Olluco largo,4.05,Tuberculos,KILOGRAMO
1543,Camote morado,3.9,Tuberculos,KILOGRAMO
1544,Arroz extra,4.45,Cereales,KILOGRAMO
1545,Leche reconstituida (azul) 395 gr,4.1,Agro-industriales,LATA
1546,Pina criolla,2.7,Frutas,KILOGRAMO
1547,Vainita americana,5.05,Legumbres,KILOGRAMO
1548,Manzana israel,3.95,Frutas,KILOGRAMO
1549,Platano bellaco,3.05,Frutas,LITRO
1550,Cebolla cabeza roja,3.0,Hortalizas,KILOGRAMO
1551,Chirimoya cumbe,7.6,Frutas,KILOGRAMO
1552,Papa amarilla,4.1,Tuberculos,KILOGRAMO
1553,Melocoton durazno huayco,9.85,Frutas,KILOGRAMO
1554,Sandia,2.35,Frutas,KILOGRAMO
1555,Aceite clasico botella 900 ml,10.45,Agro-industriales,LITRO
1556,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
1557,Ajo criollo o napuri,14.35,Hortalizas,KILOGRAMO
1558,Frijol castilla,6.45,Menestras,KILOGRAMO
1559,Arroz superior,3.95,Cereales,KILOGRAMO
1560,Mango edward,0.0,Frutas,KILOGRAMO
1561,Carne de pollo (eviscerado),9.75,Carnes y huevos,KILOGRAMO
1562,Platano seda congo,4.25,Frutas,KILOGRAMO
1563,Yuca blanca,3.65,Tuberculos,KILOGRAMO
1564,Pallar,7.75,Menestras,KILOGRAMO
1565,Choclo (tipo cusco),8.35,Cereales,UNIDAD
1566,Papa canchan,2.35,Tuberculos,KILOGRAMO
1567,Melon coquito,3.4,Frutas,KILOGRAMO
1568,Zanahoria,3.25,Hortalizas,KILOGRAMO
1569,Carne fresca de vacuno,20.5,Carnes y huevos,KILOGRAMO
1570,Zapallo macre,2.9,Hortalizas,KILOGRAMO
1571,Aji escabeche,4.05,Hortalizas,MALLA
1572,Arveja verde blanca serrana,7.35,Legumbres,KILOGRAMO
1573,Manzana delicia,3.45,Frutas,KILOGRAMO
1574,Uva italia,7.4,Frutas,KILOGRAMO
1575,Leche fresca,4.35,Agro-industriales,LITRO
1576,Garbanzo,8.9,Menestras,KILOGRAMO
1577,Azucar blanca nacional (granel),4.4,Agro-industriales,KILOGRAMO
1578,Uva red globe,7.3,Frutas,KILOGRAMO
1579,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
